Seconds,Rpi3 - Python3.9,Rpi3 - Python3.12,Rpi3 - Python3.13,Rpi4 - Python3.9,Rpi4 - Python3.12,Rpi4 - Python3.13
21.70,0.5256,0.5249,0.5248,0.4058,0.402,0.4005
21.80,0.5234,0.5246,0.5225,0.4054,0.4051,0.3996
21.90,0.5235,0.5255,0.523,0.4063,0.4088,0.4022
22.00,0.5236,0.5242,0.5251,0.4066,0.4114,0.4095
22.10,0.5242,0.5246,0.526,0.4076,0.411,0.4117
22.20,0.5234,0.5251,0.5265,0.4059,0.4098,0.413
22.30,0.5227,0.5247,0.5248,0.4042,0.4109,0.4115
22.40,0.5245,0.5239,0.5252,0.4038,0.4117,0.4137
22.50,0.5211,0.5239,0.5247,0.4043,0.4102,0.4135
22.60,0.5214,0.5241,0.5251,0.4053,0.4108,0.4161
22.70,0.5237,0.5234,0.5241,0.405,0.4268,0.4167
22.80,0.5233,0.5235,0.5246,0.4124,0.4754,0.4023
22.90,0.5240,0.5223,0.5248,0.4793,0.4406,0.4377
23.00,0.5233,0.5227,0.5234,0.4361,0.4619,0.4234
23.10,0.5242,0.5272,0.5263,0.429,0.4235,0.4012
23.20,0.5240,0.5244,0.5254,0.4691,0.4011,0.4529
23.30,0.5239,0.5243,0.5293,0.4067,0.4015,0.4539
23.40,0.5241,0.5249,0.5294,0.4061,0.4018,0.4159
23.50,0.5234,0.5237,0.5276,0.4077,0.4025,0.4178
23.60,0.5245,0.5248,0.53,0.408,0.4013,0.4302
23.70,0.5247,0.5240,0.5267,0.4086,0.4015,0.4123
23.80,0.5236,0.5245,0.5253,0.4068,0.4064,0.4137
23.90,0.5224,0.5248,0.525,0.4049,0.4105,0.411
24.00,0.5244,0.5258,0.5253,0.4057,0.4113,0.4058
24.10,0.5246,0.5243,0.5252,0.4065,0.4107,0.4028
24.20,0.5219,0.5236,0.524,0.4053,0.4107,0.4035
24.30,0.5236,0.5219,0.5249,0.4062,0.4117,0.4013
24.40,0.5214,0.5212,0.525,0.405,0.4107,0.4037
24.50,0.5196,0.5280,0.5265,0.4072,0.4305,0.4037
24.60,0.5206,0.5247,0.525,0.4046,0.4146,0.3997
24.70,0.5242,0.5244,0.5244,0.4057,0.4114,0.4034
24.80,0.5239,0.5254,0.5219,0.4067,0.4088,0.4079
24.90,0.5242,0.5237,0.5243,0.404,0.4131,0.4123
25.00,0.5236,0.5250,0.5246,0.4028,0.4115,0.412
25.10,0.5236,0.5256,0.5256,0.4029,0.4045,0.4146
25.20,0.5238,0.5253,0.5249,0.4017,0.4019,0.4121
25.30,0.5239,0.5241,0.5257,0.4044,0.4021,0.413
25.40,0.5233,0.5240,0.5251,0.4119,0.4014,0.411
25.50,0.5269,0.5239,0.5249,0.4126,0.4015,0.406
25.60,0.5240,0.5233,0.5252,0.4119,0.4031,0.4024
25.70,0.5229,0.5239,0.5255,0.4059,0.4023,0.4024
25.80,0.5233,0.5237,0.5297,0.403,0.4014,0.4008
25.90,0.5239,0.5227,0.5309,0.4034,0.4243,0.4009
26.00,0.5236,0.5253,0.5276,0.4036,0.4305,0.4101
26.10,0.5237,0.5263,0.5243,0.4044,0.4202,0.4106
26.20,0.5241,0.5256,0.5222,0.4197,0.4802,0.4017
26.30,0.5233,0.5260,0.5199,0.4829,0.4287,0.4594
26.40,0.5242,0.5264,0.5281,0.4262,0.4719,0.4297
26.50,0.5239,0.5279,0.5245,0.4404,0.4189,0.4149
26.60,0.5237,0.5271,0.5207,0.4624,0.4117,0.4802
26.70,0.5235,0.5281,0.5312,0.4063,0.412,0.4489
26.80,0.5264,0.5255,0.5214,0.4072,0.4108,0.4099
26.90,0.5228,0.5247,0.5224,0.41,0.41,0.4127
27.00,0.5242,0.5251,0.5309,0.4128,0.4088,0.4142
27.10,0.5240,0.5243,0.5208,0.4134,0.4031,0.4011
27.20,0.5266,0.5248,0.5261,0.413,0.4013,0.4012
27.30,0.5217,0.5252,0.5306,0.4115,0.4012,0.4011
27.40,0.5237,0.5247,0.5295,0.4089,0.4017,0.4007
27.50,0.5233,0.5250,0.5293,0.41,0.4016,0.3991
27.60,0.5243,0.5244,0.5301,0.4103,0.4053,0.4047
27.70,0.5239,0.5241,0.5252,0.4109,0.4031,0.4103
27.80,0.5236,0.5240,0.5259,0.4115,0.4036,0.4118
27.90,0.5239,0.5233,0.5252,0.412,0.4296,0.4113
28.00,0.5222,0.5235,0.5262,0.4112,0.4117,0.4132
28.10,0.5265,0.5224,0.5263,0.4112,0.4108,0.4122
28.20,0.5253,0.5254,0.5285,0.4119,0.41,0.4137
28.30,0.5254,0.5248,0.5294,0.412,0.4117,0.4077
28.40,0.5228,0.5243,0.5265,0.4101,0.4119,0.4032
28.50,0.5274,0.5243,0.5252,0.4062,0.4105,0.4031
